userId,Movie 1 (Sci-Fi),Movie 2 (Sci-Fi),Movie 3 (Romance),Movie 4 (Romance),Preferred Category
1,5.0,4.0,5.0,5.0,Romance
4,5.0,0.0,1.0,5.0,Romance
6,0.0,5.0,0.0,0.0,Romance
7,5.0,5.0,0.0,4.0,SciFi
8,0.0,3.0,0.0,0.0,Romance
10,0.0,3.5,0.5,1.0,Romance
11,0.0,5.0,0.0,0.0,Romance
13,0.0,0.0,5.0,0.0,SciFi
14,0.0,4.0,0.0,0.0,Romance
15,5.0,5.0,4.0,4.0,Romance
16,3.0,3.5,3.5,3.5,SciFi
17,5.0,5.0,5.0,4.0,SciFi
18,4.0,4.5,4.5,0.0,Romance
19,4.0,2.0,4.0,4.0,Romance
21,4.5,4.5,4.0,2.0,SciFi
22,0.0,5.0,0.0,0.0,Romance
24,0.0,4.5,4.0,0.0,SciFi
25,5.0,0.0,5.0,0.0,SciFi
26,0.0,3.0,0.0,0.0,Romance
27,4.0,5.0,0.0,0.0,Romance
28,4.0,4.0,4.0,4.0,SciFi
29,0.0,4.5,0.0,0.0,Romance
30,5.0,0.0,5.0,0.0,Romance
32,5.0,0.0,0.0,0.0,Romance
33,0.0,5.0,5.0,0.0,SciFi
34,0.0,4.0,3.0,0.0,SciFi
37,0.0,4.0,0.0,0.0,SciFi
38,0.0,3.0,0.0,0.0,Romance
39,5.0,0.0,5.0,5.0,SciFi
41,0.0,2.0,2.0,4.0,Romance
42,5.0,5.0,5.0,0.0,Romance
43,0.0,5.0,0.0,0.0,SciFi
44,5.0,0.0,0.0,0.0,Romance
45,5.0,5.0,5.0,5.0,Romance
47,0.0,4.5,0.0,0.0,Romance
48,0.0,0.0,5.0,0.0,SciFi
49,0.0,4.0,4.5,0.0,SciFi
50,0.0,3.0,2.5,0.0,Romance
51,5.0,0.0,0.0,0.0,Romance
52,4.0,5.0,5.0,0.0,SciFi
54,0.0,4.0,0.0,0.0,Romance
56,0.0,5.0,0.0,0.0,Romance
57,5.0,4.0,5.0,5.0,Romance
58,0.0,4.0,0.0,0.0,Romance
59,4.0,0.0,1.0,0.0,Romance
62,4.5,5.0,5.0,0.0,SciFi
63,5.0,3.5,3.5,5.0,Romance
64,3.5,4.0,4.0,2.5,Romance
66,2.5,5.0,5.0,5.0,Romance
67,0.0,4.5,4.5,4.0,SciFi
68,5.0,3.5,4.5,5.0,Romance
69,5.0,4.0,5.0,0.0,SciFi
70,0.0,4.0,0.0,4.0,Romance
71,3.0,0.0,0.0,0.0,Romance
72,5.0,4.0,5.0,4.5,SciFi
73,2.0,0.0,0.0,5.0,SciFi
74,0.0,0.0,0.0,5.0,Romance
75,5.0,0.0,1.0,0.0,Romance
76,4.0,1.0,4.0,4.0,SciFi
77,5.0,0.0,5.0,0.0,SciFi
78,3.5,3.0,4.5,0.0,Romance
79,5.0,0.0,4.0,0.0,SciFi
80,0.0,0.0,4.5,0.0,Romance
81,0.0,2.0,0.0,0.0,SciFi
82,3.5,4.5,4.0,0.0,SciFi
83,0.0,4.5,0.0,3.5,Romance
84,4.0,5.0,0.0,0.0,Romance
86,4.5,4.0,4.5,4.0,SciFi
89,0.0,0.5,0.0,0.0,SciFi
90,5.0,0.0,0.0,0.0,Romance
91,4.5,3.0,5.0,0.0,SciFi
93,5.0,5.0,0.0,0.0,SciFi
94,0.0,3.0,0.0,0.0,SciFi
95,5.0,0.0,5.0,0.0,SciFi
96,5.0,0.0,4.0,5.0,SciFi
97,0.0,0.0,5.0,0.0,SciFi
98,0.0,5.0,0.0,0.0,Romance
100,0.0,4.0,0.0,0.0,Romance
101,0.0,0.0,0.0,4.0,SciFi
102,0.0,5.0,0.0,0.0,Romance
103,4.0,4.0,4.0,0.0,Romance
104,3.0,4.0,0.0,0.0,Romance
105,4.0,3.5,4.0,5.0,Romance
106,0.0,0.0,5.0,0.0,Romance
108,0.0,0.0,5.0,0.0,SciFi
109,0.0,5.0,0.0,0.0,Romance
110,0.0,0.0,4.0,4.5,Romance
111,0.0,5.0,0.5,4.0,Romance
112,5.0,3.5,5.0,0.0,SciFi
113,4.0,4.0,0.0,5.0,Romance
114,3.5,0.0,0.0,0.0,SciFi
115,5.0,0.0,3.0,1.0,SciFi
116,0.0,4.0,0.0,0.0,Romance
117,0.0,4.0,0.0,0.0,Romance
119,0.0,4.0,4.0,0.0,Romance
120,5.0,0.0,0.0,0.0,SciFi
121,0.0,4.0,0.0,0.0,Romance
122,5.0,5.0,5.0,0.0,SciFi
123,4.5,0.0,4.0,3.5,SciFi
124,4.0,5.0,0.0,5.0,Romance
125,0.0,5.0,5.0,5.0,Romance
126,0.0,4.0,0.0,0.0,Romance
128,5.0,0.0,0.0,0.0,Romance
129,4.0,0.0,4.5,4.5,Romance
131,2.5,3.0,3.0,3.5,Romance
132,2.0,4.0,4.5,4.5,Romance
133,0.0,4.0,0.0,0.0,Romance
135,4.0,0.0,5.0,4.0,Romance
137,4.0,3.5,4.0,0.0,Romance
139,4.0,0.0,0.0,0.0,Romance
140,4.0,4.0,4.0,4.0,Romance
141,4.0,4.0,3.5,0.0,SciFi
142,0.0,4.0,0.0,0.0,Romance
143,0.0,5.0,0.0,0.0,Romance
144,0.0,4.0,4.0,4.0,Romance
148,0.0,4.0,0.0,0.0,Romance
149,4.0,0.0,0.0,0.0,SciFi
152,3.0,0.0,4.0,4.0,Romance
153,0.0,3.5,0.5,3.0,Romance
154,0.0,5.0,0.0,0.0,Romance
155,4.0,0.0,0.0,0.0,Romance
156,1.0,3.0,3.0,4.5,Romance
159,0.0,4.0,0.0,4.0,Romance
160,5.0,3.0,4.0,5.0,Romance
162,0.0,5.0,0.0,0.0,Romance
165,0.0,0.0,4.0,0.0,Romance
166,4.5,4.0,4.0,4.0,Romance
167,4.0,3.0,0.0,3.0,SciFi
168,0.0,4.0,0.0,5.0,Romance
169,0.0,4.5,4.5,0.0,Romance
170,0.0,4.0,0.0,0.0,Romance
171,4.0,0.0,0.0,0.0,SciFi
173,0.0,5.0,0.0,0.0,Romance
174,0.0,3.0,0.0,0.0,Romance
177,2.5,5.0,3.0,4.0,Romance
178,0.0,4.5,4.5,5.0,SciFi
179,0.0,5.0,0.0,0.0,Romance
180,4.5,0.0,3.5,0.0,SciFi
181,0.0,5.0,0.0,0.0,Romance
182,3.5,5.0,5.0,5.0,Romance
186,4.0,0.0,3.0,0.0,Romance
187,4.0,2.0,4.0,4.0,Romance
188,0.0,5.0,0.0,3.0,Romance
189,0.0,4.0,4.0,0.0,SciFi
190,0.0,0.0,3.0,0.0,Romance
192,0.0,5.0,0.0,0.0,Romance
193,5.0,3.0,0.0,2.5,SciFi
195,4.0,0.0,3.0,4.0,Romance
196,0.0,0.0,5.0,0.0,SciFi
197,0.0,3.0,5.0,0.0,SciFi
198,5.0,5.0,5.0,5.0,Romance
199,4.0,2.0,4.0,5.0,Romance
200,5.0,4.0,5.0,3.5,Romance
201,5.0,5.0,0.0,5.0,Romance
202,4.0,5.0,4.0,4.0,Romance
203,0.0,0.0,2.5,0.0,SciFi
204,0.0,0.0,4.5,4.0,SciFi
205,4.5,4.0,0.0,0.0,SciFi
207,0.0,0.0,0.0,5.0,Romance
208,0.0,0.0,5.0,0.0,SciFi
209,0.0,4.5,5.0,4.5,Romance
210,5.0,0.0,5.0,0.0,Romance
211,4.5,4.5,5.0,4.0,Romance
212,2.5,3.5,3.0,3.5,Romance
215,4.5,3.5,0.0,4.0,Romance
216,0.0,0.0,0.0,5.0,Romance
217,5.0,2.0,3.0,0.0,SciFi
219,5.0,0.0,5.0,5.0,SciFi
220,5.0,5.0,5.0,0.0,Romance
221,0.0,3.5,2.0,5.0,Romance
222,0.0,4.0,4.0,0.0,SciFi
223,3.5,0.0,3.5,0.0,Romance
224,2.0,5.0,0.0,0.0,Romance
225,0.0,0.0,0.0,3.0,Romance
226,4.5,4.0,4.0,4.0,SciFi
227,3.5,5.0,4.5,0.0,SciFi
228,4.5,0.0,4.5,0.0,SciFi
229,0.0,4.0,0.0,0.0,Romance
231,4.0,0.0,5.0,4.0,SciFi
232,4.5,4.0,4.5,0.0,Romance
233,0.0,5.0,4.5,3.0,Romance
234,5.0,0.0,5.0,0.0,Romance
235,0.0,5.0,0.0,0.0,Romance
236,0.0,0.0,0.0,5.0,Romance
237,0.0,2.0,4.0,3.5,SciFi
239,5.0,5.0,5.0,5.0,Romance
240,0.0,5.0,0.0,0.0,SciFi
241,0.0,0.0,4.0,3.5,SciFi
243,0.0,4.0,0.0,0.0,Romance
244,0.0,5.0,4.0,0.0,Romance
246,5.0,3.5,5.0,0.0,Romance
247,4.0,5.0,3.5,4.0,SciFi
248,3.5,0.0,4.0,0.0,SciFi
249,5.0,4.5,5.0,4.5,SciFi
251,0.0,5.0,5.0,0.0,Romance
254,4.0,5.0,5.0,5.0,Romance
255,0.0,0.0,0.0,1.0,SciFi
256,4.0,0.0,4.5,0.0,Romance
258,0.0,0.0,5.0,0.0,Romance
261,0.0,5.0,4.0,5.0,Romance
262,4.0,0.0,0.0,0.0,SciFi
263,0.0,4.0,4.0,4.0,Romance
264,0.0,3.5,4.5,0.0,Romance
265,5.0,0.0,5.0,2.0,SciFi
266,4.0,4.0,5.0,0.0,SciFi
267,5.0,0.0,5.0,4.0,Romance
268,4.0,2.0,5.0,5.0,SciFi
271,0.0,0.0,0.0,2.5,Romance
272,0.0,0.0,4.0,0.0,SciFi
274,3.0,4.5,4.0,5.0,SciFi
275,4.0,3.0,5.0,4.0,Romance
276,5.0,5.0,0.0,0.0,SciFi
277,4.0,0.0,0.0,0.0,SciFi
279,5.0,3.0,4.5,3.5,SciFi
280,0.0,4.0,0.0,0.0,Romance
281,0.0,0.0,0.0,3.5,Romance
282,4.0,4.5,5.0,4.5,SciFi
283,0.0,5.0,0.0,0.0,SciFi
284,0.0,5.0,0.0,0.0,SciFi
286,0.0,4.5,4.5,0.0,SciFi
288,5.0,5.0,3.0,0.0,Romance
290,5.0,0.0,0.0,4.0,Romance
292,4.0,4.5,4.0,0.0,SciFi
294,5.0,5.0,0.0,3.0,SciFi
296,0.0,5.0,4.5,0.0,Romance
298,4.0,3.0,4.0,4.0,SciFi
300,0.0,4.0,4.0,5.0,Romance
301,0.0,4.0,0.0,4.0,Romance
302,5.0,0.0,0.0,0.0,SciFi
303,3.5,0.0,5.0,0.0,SciFi
304,5.0,5.0,4.0,2.0,SciFi
305,5.0,4.5,5.0,5.0,Romance
307,3.5,4.0,3.5,4.0,SciFi
308,2.5,2.5,3.0,0.0,Romance
309,0.0,0.0,4.0,0.0,Romance
312,5.0,4.0,3.0,0.0,Romance
313,3.0,0.0,5.0,4.0,SciFi
314,5.0,4.0,0.0,0.0,Romance
316,0.0,0.0,4.5,4.0,SciFi
317,4.0,5.0,4.0,5.0,Romance
318,3.0,4.5,3.5,3.5,Romance
319,0.0,4.0,5.0,0.0,SciFi
321,0.0,5.0,0.0,0.0,SciFi
322,0.0,3.5,4.0,4.5,Romance
